level_0,level_1,level_2,control_data_Fz
0,0,0,-1.186464668934638e-05
0,0,1,-1.4469960512611423e-05
0,0,2,-1.7911632579365854e-05
0,0,3,-2.0059124225234597e-05
0,0,4,-1.943193230397153e-05
0,0,5,-1.6533515255000666e-05
0,0,6,-1.3411519666746549e-05
0,0,7,-1.1843023998186347e-05
0,0,8,-1.1785506824793393e-05
0,0,9,-1.1602352779021153e-05
0,0,10,-9.698338689211213e-06
0,0,11,-6.04561837376551e-06
0,0,12,-2.1786944086631853e-06
0,0,13,1.4415072870339418e-07
0,0,14,3.648647689059947e-07
0,0,15,-6.770171795253639e-07
0,0,16,-1.7018046745600872e-06
0,0,17,-2.127347065520056e-06
0,0,18,-2.2924296331977226e-06
0,0,19,-2.82220612119911e-06
0,0,20,-3.859884657904649e-06
0,0,21,-4.999583399615561e-06
0,0,22,-5.748338020731143e-06
0,0,23,-5.976933332864132e-06
0,0,24,-5.819721350553949e-06
0,0,25,-5.351281368053053e-06
0,0,26,-4.503771991758003e-06
0,0,27,-3.4808254504513055e-06
0,0,28,-3.0639712806078976e-06
0,0,29,-4.256842357557711e-06
0,0,30,-7.2668205748955975e-06
0,0,31,-1.0913868917498645e-05
0,0,32,-1.3189224606405562e-05
0,0,33,-1.2816419084614797e-05
0,0,34,-1.0392366102922573e-05
0,0,35,-8.080290838176991e-06
0,0,36,-7.830874645425e-06
1,0,0,1.4263727856538857e-05
1,0,1,1.296169376688739e-05
1,0,2,1.0842277859082858e-05
1,0,3,8.797478352915171e-06
1,0,4,7.580594796491335e-06
1,0,5,7.3727054048453315e-06
1,0,6,7.77720572607153e-06
1,0,7,8.042631208600567e-06
1,0,8,7.610081342757959e-06
1,0,9,6.37208077423581e-06
1,0,10,4.777872234881813e-06
1,0,11,3.4952151120392987e-06
1,0,12,3.1486092226139706e-06
1,0,13,3.9535622497852846e-06
1,0,14,5.717060133673214e-06
1,0,15,7.823076273937913e-06
1,0,16,9.593100691903018e-06
1,0,17,1.0455958701013901e-05
1,0,18,1.0273599917420741e-05
1,0,19,9.29391767592419e-06
1,0,20,8.12724841412713e-06
1,0,21,7.304149148395643e-06
1,0,22,7.082142943576244e-06
1,0,23,7.146140084916949e-06
1,0,24,6.9429291340865795e-06
1,0,25,6.0263989314412526e-06
1,0,26,4.671729108432927e-06
1,0,27,3.7228758274028193e-06
1,0,28,4.1233772822646755e-06
1,0,29,5.900411721697623e-06
1,0,30,8.032403394829903e-06
1,0,31,8.960076362929512e-06
1,0,32,7.998092888593193e-06
1,0,33,5.853887792827751e-06
1,0,34,4.293640149941893e-06
1,0,35,4.480913115380899e-06
1,0,36,6.048012527654133e-06
2,0,0,-2.0911745962273963e-07
2,0,1,1.3627802421322405e-06
2,0,2,2.8794513556721816e-06
2,0,3,4.260286068347819e-06
2,0,4,5.2573189224275774e-06
2,0,5,5.451371989070392e-06
2,0,6,4.676576351467725e-06
2,0,7,3.264591262893248e-06
2,0,8,1.880553491729177e-06
2,0,9,9.987026863770958e-07
2,0,10,6.533786842782831e-07
2,0,11,6.288849911503817e-07
2,0,12,8.403188201262159e-07
2,0,13,1.3306268754613397e-06
2,0,14,1.973270657190429e-06
2,0,15,2.301843267299227e-06
2,0,16,1.909460689862138e-06
2,0,17,9.639840898616195e-07
2,0,18,3.3090466824573196e-07
2,0,19,8.85948351893037e-07
2,0,20,2.709402401152009e-06
2,0,21,4.844117647158803e-06
2,0,22,6.015719280696015e-06
2,0,23,5.611187309053722e-06
2,0,24,4.0878757017487756e-06
2,0,25,2.4107054191490506e-06
2,0,26,1.2454346873757473e-06
2,0,27,5.160603072500925e-07
2,0,28,-2.582601648385521e-07
2,0,29,-1.391981934654024e-06
2,0,30,-2.6747017216824246e-06
2,0,31,-3.6259000438865273e-06
2,0,32,-3.917060225082527e-06
2,0,33,-3.7023150622723998e-06
2,0,34,-3.45621816143346e-06
2,0,35,-3.5802910667002725e-06
2,0,36,-3.976055509286828e-06
3,0,0,2.3113347541483636e-06
3,0,1,3.0279294602310943e-06
3,0,2,3.055401293804329e-06
3,0,3,2.3231274445262165e-06
3,0,4,1.1026718476079398e-06
3,0,5,-1.8092457863919504e-07
3,0,6,-1.0822070341699871e-06
3,0,7,-1.1947988419484172e-06
3,0,8,-3.516824842899639e-07
3,0,9,1.1760697991746632e-06
3,0,10,2.686216652374217e-06
3,0,11,3.387774682328472e-06
3,0,12,2.9108636660490352e-06
3,0,13,1.593490766124662e-06
3,0,14,3.13986406712823e-07
3,0,15,-4.9498277859110906e-08
3,0,16,8.829339226085623e-07
3,0,17,2.811961572725684e-06
3,0,18,4.994068587459713e-06
3,0,19,6.621209566657759e-06
3,0,20,7.180744539845652e-06
3,0,21,6.619533185998471e-06
3,0,22,5.343235977801284e-06
3,0,23,4.033173960196583e-06
3,0,24,3.4032211767756734e-06
3,0,25,3.816992159534128e-06
3,0,26,5.054102514628916e-06
3,0,27,6.291356206090839e-06
3,0,28,6.606998893629742e-06
3,0,29,5.598052750172878e-06
3,0,30,3.804290883935665e-06
3,0,31,2.315815107015e-06
3,0,32,1.9228551823326223e-06
3,0,33,2.32554833755947e-06
3,0,34,2.366798652271999e-06
3,0,35,1.0000104488282622e-06
3,0,36,-1.5934276471914183e-06
4,0,0,-5.751050497770129e-06
4,0,1,-6.047007717892641e-06
4,0,2,-6.428791043917327e-06
4,0,3,-6.861252870671492e-06
4,0,4,-7.3205760781459655e-06
4,0,5,-7.504624339122314e-06
4,0,6,-6.843321272864136e-06
4,0,7,-4.9730792684194326e-06
4,0,8,-2.268064997369926e-06
4,0,9,2.0342718319893804e-07
4,0,10,1.3621645142099652e-06
4,0,11,9.408427244259355e-07
4,0,12,-3.2182033944327883e-07
4,0,13,-1.2800113117661613e-06
4,0,14,-1.2926187275100028e-06
4,0,15,-5.998373215586385e-07
4,0,16,2.1210124461964982e-08
4,0,17,1.0219508947044626e-08
4,0,18,-5.700616923967488e-07
4,0,19,-1.173197705813137e-06
4,0,20,-1.33230043668701e-06
4,0,21,-9.911231393185165e-07
4,0,22,-5.138024866192971e-07
4,0,23,-3.1992065509401067e-07
4,0,24,-6.403086540474913e-07
4,0,25,-1.413189168628097e-06
4,0,26,-2.4343108087884936e-06
4,0,27,-3.443148358576347e-06
4,0,28,-4.2752905483633725e-06
4,0,29,-4.8710423287112975e-06
4,0,30,-5.428177691042276e-06
4,0,31,-6.2794069007230074e-06
4,0,32,-7.666952411105145e-06
4,0,33,-9.30059045675159e-06
4,0,34,-1.0371072285051601e-05
4,0,35,-1.0013134455271204e-05
4,0,36,-8.23439343995442e-06
5,0,0,6.037161891902414e-06
5,0,1,6.614905676886895e-06
5,0,2,6.8917362231461126e-06
5,0,3,7.051963726134429e-06
5,0,4,7.0943701905290795e-06
5,0,5,6.625922204474689e-06
5,0,6,5.228707673874983e-06
5,0,7,3.0787174641242984e-06
5,0,8,1.0672075563753682e-06
5,0,9,1.7789757559028097e-07
5,0,10,6.322174252620699e-07
5,0,11,1.705873208219624e-06
5,0,12,2.444064957711416e-06
5,0,13,2.6174184703302522e-06
5,0,14,2.891130541109562e-06
5,0,15,4.030855476268275e-06
5,0,16,5.95756291441713e-06
5,0,17,7.6266916266428905e-06
5,0,18,7.829600625227772e-06
5,0,19,6.172988015476434e-06
5,0,20,3.2774002226660054e-06
5,0,21,1.87494791200074e-07
5,0,22,-2.3461340228450893e-06
5,0,23,-4.0164941909154e-06
5,0,24,-4.666915698601538e-06
5,0,25,-4.138574575159878e-06
5,0,26,-2.549566890385998e-06
5,0,27,-6.144439431109726e-07
5,0,28,5.588991454324091e-07
5,0,29,2.564060916492575e-07
5,0,30,-1.2526133291638111e-06
5,0,31,-2.9027125925113454e-06
5,0,32,-3.673749652253458e-06
5,0,33,-3.286464610796825e-06
5,0,34,-2.154934404922137e-06
5,0,35,-7.241542442575728e-07
5,0,36,1.0009636902393948e-06
6,0,0,-7.44415239929821e-06
6,0,1,-7.382056465710422e-06
6,0,2,-7.809221395242531e-06
6,0,3,-8.723312333061355e-06
6,0,4,-9.453577654210143e-06
6,0,5,-9.12152768200677e-06
6,0,6,-7.460943854530435e-06
6,0,7,-4.95461616190044e-06
6,0,8,-2.4783194390736617e-06
6,0,9,-5.861314180976269e-07
6,0,10,5.880126169668061e-07
6,0,11,1.212753177123657e-06
6,0,12,1.4129191396471168e-06
6,0,13,1.4041370586759342e-06
6,0,14,1.5225262586182633e-06
6,0,15,2.2713426344250158e-06
6,0,16,3.854016234203483e-06
6,0,17,6.02722548023854e-06
6,0,18,8.050002481369337e-06
6,0,19,9.263274252379672e-06
6,0,20,9.349029417694051e-06
6,0,21,8.53174873535333e-06
6,0,22,7.1778261532031156e-06
6,0,23,5.690745904973646e-06
6,0,24,4.335770855538857e-06
6,0,25,3.4960591231351207e-06
6,0,26,3.456276369095241e-06
6,0,27,4.308047637626306e-06
6,0,28,5.527850672086337e-06
6,0,29,6.279463653193244e-06
6,0,30,5.780833175516063e-06
6,0,31,4.082871661825055e-06
6,0,32,2.0102268835540206e-06
6,0,33,7.862134342588622e-07
6,0,34,9.918469152129725e-07
6,0,35,2.290740155814534e-06
6,0,36,3.511267329966907e-06
7,0,0,4.428536042321078e-06
7,0,1,4.113172387760838e-06
7,0,2,3.973800689988593e-06
7,0,3,4.011011029175646e-06
7,0,4,3.6811285647778364e-06
7,0,5,2.3633911393715606e-06
7,0,6,7.508592259928968e-08
7,0,7,-2.214200536652662e-06
7,0,8,-3.2012795167700122e-06
7,0,9,-2.2608572517509716e-06
7,0,10,9.762904230642944e-09
7,0,11,2.346882355096859e-06
7,0,12,3.849179177509496e-06
7,0,13,4.628075908682508e-06
7,0,14,5.394275002235918e-06
7,0,15,6.6037989274233405e-06
7,0,16,7.926892549107111e-06
7,0,17,8.65166379457956e-06
7,0,18,8.400686181300298e-06
7,0,19,7.491549443094795e-06
7,0,20,6.503789433334609e-06
7,0,21,5.7190424683547375e-06
7,0,22,4.949413124533006e-06
7,0,23,4.064336887122494e-06
7,0,24,3.3684042638814705e-06
7,0,25,3.494645768347505e-06
7,0,26,4.673880245333615e-06
7,0,27,6.33468962749935e-06
7,0,28,7.3177733792312185e-06
7,0,29,6.820073860344645e-06
7,0,30,5.019248858148214e-06
7,0,31,3.0205692832978515e-06
7,0,32,1.8934013778757505e-06
7,0,33,1.8893546720893814e-06
7,0,34,2.2539405444409216e-06
7,0,35,1.982531132381873e-06
7,0,36,6.029791710527303e-07
8,0,0,4.192928162135044e-06
8,0,1,2.573303065365505e-06
8,0,2,5.492852860693256e-07
8,0,3,-9.958185876853272e-07
8,0,4,-1.6343176200977355e-06
8,0,5,-1.4746833805122261e-06
8,0,6,-8.888272664649282e-07
8,0,7,-1.418117811439917e-07
8,0,8,6.785610468046289e-07
8,0,9,1.463942520772647e-06
8,0,10,1.8327006091812712e-06
8,0,11,1.2738214726325993e-06
8,0,12,-3.473375324490717e-07
8,0,13,-2.3457714982515605e-06
8,0,14,-3.484526730144794e-06
8,0,15,-2.9245695695100468e-06
8,0,16,-1.1141754096157907e-06
8,0,17,3.8358862755987137e-07
8,0,18,1.1055672240341784e-07
8,0,19,-1.9537552652858047e-06
8,0,20,-4.2663651310250546e-06
8,0,21,-4.974538461740701e-06
8,0,22,-3.4885154101683253e-06
8,0,23,-8.871097766445076e-07
8,0,24,1.1367832654514648e-06
8,0,25,1.7352115068476495e-06
8,0,26,1.386170354372566e-06
8,0,27,1.1440946934679661e-06
8,0,28,1.5215757456912767e-06
8,0,29,2.112725300880712e-06
8,0,30,2.1142250576662835e-06
8,0,31,1.130642993779888e-06
8,0,32,-5.127683001785005e-07
8,0,33,-2.046193761566281e-06
8,0,34,-2.818112667384373e-06
8,0,35,-2.680219262322418e-06
8,0,36,-2.07964370390335e-06
9,0,0,-1.8140877998321358e-06
9,0,1,-2.8541151975894742e-06
9,0,2,-4.113203674379045e-06
9,0,3,-4.920988868093882e-06
9,0,4,-5.095501622676872e-06
9,0,5,-4.822801273818891e-06
9,0,6,-4.468630934947258e-06
9,0,7,-4.353825780829612e-06
9,0,8,-4.750260702920305e-06
9,0,9,-5.606114875127409e-06
9,0,10,-6.473843774135689e-06
9,0,11,-6.55828635667691e-06
9,0,12,-5.332619627888233e-06
9,0,13,-2.9801375138291153e-06
9,0,14,-5.947343740846262e-07
9,0,15,5.380270147861979e-07
9,0,16,-2.368620733984682e-07
9,0,17,-2.279598481753911e-06
9,0,18,-4.12530686625271e-06
9,0,19,-4.418944511053256e-06
9,0,20,-3.0724186675238404e-06
9,0,21,-1.2415165841421253e-06
9,0,22,-5.646480615279813e-07
9,0,23,-1.787157297513463e-06
9,0,24,-4.3716227734191e-06
9,0,25,-6.922488058460697e-06
9,0,26,-8.542744162663729e-06
9,0,27,-9.352210466410374e-06
9,0,28,-1.0237377289494531e-05
9,0,29,-1.1660547344078081e-05
9,0,30,-1.3249433156560107e-05
9,0,31,-1.4038759609330586e-05
9,0,32,-1.364365327712004e-05
9,0,33,-1.2571012672163732e-05
9,0,34,-1.1932863886166196e-05
9,0,35,-1.2266273734867924e-05
9,0,36,-1.3276493898522015e-05
10,0,0,-8.108036975356368e-06
10,0,1,-7.252614995037986e-06
10,0,2,-5.931557550122886e-06
10,0,3,-5.155947005255288e-06
10,0,4,-5.157225027229264e-06
10,0,5,-5.32289749317929e-06
10,0,6,-4.841656918257018e-06
10,0,7,-3.5404522877859285e-06
10,0,8,-1.8333490789132983e-06
10,0,9,-2.247593590095287e-07
10,0,10,1.249714769506069e-06
10,0,11,2.7517723038591037e-06
10,0,12,4.233527642429286e-06
10,0,13,5.136966578142218e-06
10,0,14,5.030849281343247e-06
10,0,15,4.107932243009019e-06
10,0,16,3.3081651547044904e-06
10,0,17,3.3972214220376145e-06
10,0,18,4.323835010692812e-06
10,0,19,5.124954699537972e-06
10,0,20,5.02681039721143e-06
10,0,21,4.136990235365781e-06
10,0,22,3.500665168171415e-06
10,0,23,3.851329223016525e-06
10,0,24,4.8844031698773145e-06
10,0,25,5.2773449046653856e-06
10,0,26,4.121959561902426e-06
10,0,27,1.7618913524227787e-06
10,0,28,-1.674653187762958e-07
10,0,29,-3.0174076522937014e-07
10,0,30,1.3955582497736268e-06
10,0,31,3.3360659059854724e-06
10,0,32,3.8196064111438595e-06
10,0,33,2.2232001687597504e-06
10,0,34,-3.7015029744410857e-07
10,0,35,-2.3749680976029383e-06
10,0,36,-2.8003989845108083e-06
11,0,0,-8.377303435967167e-06
11,0,1,-8.146771991484193e-06
11,0,2,-8.328700038380175e-06
11,0,3,-8.681437013580455e-06
11,0,4,-8.961249247314395e-06
11,0,5,-9.021510911960315e-06
11,0,6,-8.691170062225982e-06
11,0,7,-7.750096235192882e-06
11,0,8,-6.051256513404756e-06
11,0,9,-3.7599682960747665e-06
11,0,10,-1.4202092854872795e-06
11,0,11,1.9330528008787375e-07
11,0,12,4.187934854248964e-07
11,0,13,-9.647208715305046e-07
11,0,14,-3.5359051780071873e-06
11,0,15,-6.316534657789909e-06
11,0,16,-8.186142198721201e-06
11,0,17,-8.500839739351937e-06
11,0,18,-7.498665329747501e-06
11,0,19,-6.166731419430767e-06
11,0,20,-5.530150602322452e-06
11,0,21,-5.899712138362595e-06
11,0,22,-6.648467487073949e-06
11,0,23,-6.72949473506018e-06
11,0,24,-5.581594170006463e-06
11,0,25,-3.6663296305679467e-06
11,0,26,-2.18413191376823e-06
11,0,27,-2.2078395306136757e-06
11,0,28,-3.871966385703032e-06
11,0,29,-6.223093898333144e-06
11,0,30,-7.84474844161046e-06
11,0,31,-7.834695978420911e-06
11,0,32,-6.4356238958146244e-06
11,0,33,-4.814580532986007e-06
11,0,34,-4.13260101386962e-06
11,0,35,-4.626606529020428e-06
11,0,36,-5.485787632896193e-06
12,0,0,-2.2513215634586704e-06
12,0,1,-1.767316488399695e-06
12,0,2,-4.4511740024318294e-07
12,0,3,1.1718421039399443e-06
12,0,4,2.2461441738422087e-06
12,0,5,2.360061297319811e-06
12,0,6,1.687755891591398e-06
12,0,7,8.036269838763695e-07
12,0,8,1.3235778821449455e-07
12,0,9,-2.1434216570176613e-07
12,0,10,-4.606855850832949e-07
12,0,11,-7.948245302235636e-07
12,0,12,-1.2687938767957517e-06
12,0,13,-1.6029464188820145e-06
12,0,14,-1.4194151147018573e-06
12,0,15,-3.733499453273593e-07
12,0,16,1.4161612154588374e-06
12,0,17,3.421241541267246e-06
12,0,18,4.845770380955492e-06
12,0,19,5.2806256340025076e-06
12,0,20,4.883203000650971e-06
12,0,21,4.362457249475936e-06
12,0,22,4.195290665607573e-06
12,0,23,4.267069807530489e-06
12,0,24,3.778715528742827e-06
12,0,25,2.0929916302444093e-06
12,0,26,-7.333440971843716e-07
12,0,27,-3.625807275425564e-06
12,0,28,-5.283328652296455e-06
12,0,29,-4.904826419406777e-06
12,0,30,-2.9603785592397267e-06
12,0,31,-7.754413788505475e-07
12,0,32,8.336577490432759e-08
12,0,33,-1.0708697277960976e-06
12,0,34,-3.860181880777617e-06
12,0,35,-6.913131176829429e-06
12,0,36,-8.899394147927225e-06
13,0,0,9.761918281528112e-08
13,0,1,-3.3077297341095283e-07
13,0,2,-5.126151412684397e-07
13,0,3,-1.748507682939407e-07
13,0,4,9.190133960665801e-07
13,0,5,2.6627720614004436e-06
13,0,6,4.434251670910069e-06
13,0,7,5.29281177179421e-06
13,0,8,4.707072800666246e-06
13,0,9,3.1317097194095652e-06
13,0,10,1.9444916978123288e-06
13,0,11,2.383448590126519e-06
13,0,12,4.425609652125047e-06
13,0,13,6.562103324098188e-06
13,0,14,7.007624767368654e-06
13,0,15,5.298314214821929e-06
13,0,16,2.9166325910283446e-06
13,0,17,2.1073110788403794e-06
13,0,18,3.959172376987298e-06
13,0,19,7.308767926357952e-06
13,0,20,9.624791125763818e-06
13,0,21,8.986389136437535e-06
13,0,22,5.588698778924699e-06
13,0,23,1.380074284144154e-06
13,0,24,-1.571430971804443e-06
13,0,25,-2.595625885557396e-06
13,0,26,-2.425109450753546e-06
13,0,27,-2.112225988281998e-06
13,0,28,-1.9660620020767595e-06
13,0,29,-1.6638119880189108e-06
13,0,30,-1.0663802799823081e-06
13,0,31,-8.094310153516904e-07
13,0,32,-1.8131557496478703e-06
13,0,33,-4.306482215322288e-06
13,0,34,-7.360887794312279e-06
13,0,35,-9.577113957594913e-06
13,0,36,-1.0145881393537018e-05
14,0,0,4.128630523740395e-06
14,0,1,4.64611700965359e-06
14,0,2,3.6609938069720753e-06
14,0,3,2.221044302486543e-06
14,0,4,1.8268783878116438e-06
14,0,5,2.9162053104110847e-06
14,0,6,4.579436858902675e-06
14,0,7,5.593877078035876e-06
14,0,8,5.8282302193126475e-06
14,0,9,6.230558303360763e-06
14,0,10,7.647980351343456e-06
14,0,11,9.611379352893743e-06
14,0,12,1.0802706107816934e-05
14,0,13,1.0518178325882974e-05
14,0,14,9.762853151145995e-06
14,0,15,1.0312586681685768e-05
14,0,16,1.2875316507187729e-05
14,0,17,1.594828960269003e-05
14,0,18,1.707140643675113e-05
14,0,19,1.5017243500590224e-05
14,0,20,1.113167980509519e-05
14,0,21,8.104657292994219e-06
14,0,22,7.722011765979404e-06
14,0,23,9.345126593971647e-06
14,0,24,1.0843309589887923e-05
14,0,25,1.0492265002453921e-05
14,0,26,8.415327591025494e-06
14,0,27,5.955553658692033e-06
14,0,28,4.347352725041697e-06
14,0,29,3.674003946975863e-06
14,0,30,3.404295471933416e-06
14,0,31,3.2027943711678583e-06
14,0,32,3.4365181421016245e-06
14,0,33,4.445598890776356e-06
14,0,34,5.9265083992612855e-06
14,0,35,6.7183552437868736e-06
14,0,36,5.848692759013812e-06
15,0,0,6.922955083997016e-07
15,0,1,-1.466176330742958e-06
15,0,2,-1.7449814809786186e-06
15,0,3,-9.743133805051459e-08
15,0,4,1.8493234440932746e-06
15,0,5,2.073051504307728e-06
15,0,6,-8.043030112982709e-08
15,0,7,-3.353195693251798e-06
15,0,8,-5.569513897399624e-06
15,0,9,-5.381141170950846e-06
15,0,10,-3.1326042984115593e-06
15,0,11,-4.31944096887466e-07
15,0,12,1.2371878440445338e-06
15,0,13,1.4284864149925134e-06
15,0,14,8.199480484418278e-07
15,0,15,4.506471281123617e-07
15,0,16,9.975579053789156e-07
15,0,17,2.3011767895718367e-06
15,0,18,3.567695292488787e-06
15,0,19,3.793405687384764e-06
15,0,20,2.4697625489939937e-06
15,0,21,-1.196074453761397e-07
15,0,22,-2.937458564817753e-06
15,0,23,-4.9151568241813295e-06
15,0,24,-5.568571660874547e-06
15,0,25,-5.298849361512427e-06
15,0,26,-4.822899499248146e-06
15,0,27,-4.584755583997898e-06
15,0,28,-4.3805212697138444e-06
15,0,29,-3.787741354297717e-06
15,0,30,-2.6168855064270715e-06
15,0,31,-1.2564729518872378e-06
15,0,32,-2.6952371119102865e-07
15,0,33,-6.104090834932706e-08
15,0,34,-5.549705830095608e-07
15,0,35,-1.4654241786133838e-06
15,0,36,-2.4269082494015167e-06
16,0,0,2.1293386770476758e-06
16,0,1,3.2005441902926716e-07
16,0,2,9.193388132757235e-07
16,0,3,3.9619008611332745e-06
16,0,4,7.464609482031083e-06
16,0,5,8.950445177692101e-06
16,0,6,7.6210047380869035e-06
16,0,7,4.967650676362598e-06
16,0,8,3.494187019213095e-06
16,0,9,4.608817176186548e-06
16,0,10,7.770874915257093e-06
16,0,11,1.1170154341936546e-05
16,0,12,1.3294356374731007e-05
16,0,13,1.3713717839605624e-05
16,0,14,1.2920670462055806e-05
16,0,15,1.1537666604484118e-05
16,0,16,1.006779727044958e-05
16,0,17,8.911844766782144e-06
16,0,18,8.530196045975326e-06
16,0,19,9.04447965529903e-06
16,0,20,1.0024834922884923e-05
16,0,21,1.0526391426960249e-05
16,0,22,9.848878982087654e-06
16,0,23,8.003533849778156e-06
16,0,24,5.8050442886359126e-06
16,0,25,4.116727420704102e-06
16,0,26,3.3647437295512286e-06
16,0,27,3.3486664095694774e-06
16,0,28,3.7533169793226484e-06
16,0,29,4.365036576488599e-06
16,0,30,5.137624324720342e-06
16,0,31,5.79625747829221e-06
16,0,32,5.93651429632141e-06
16,0,33,5.176064300762515e-06
16,0,34,3.64922530915365e-06
16,0,35,1.8725186516161058e-06
16,0,36,5.91674515539121e-07
17,0,0,-2.1003641763057805e-06
17,0,1,-3.7905706104581513e-06
17,0,2,-3.2508742635967093e-06
17,0,3,-2.469975734555266e-07
17,0,4,3.6708476365157974e-06
17,0,5,6.364910317900184e-06
17,0,6,6.5454268289979805e-06
17,0,7,4.571877502626776e-06
17,0,8,1.9509214616517936e-06
17,0,9,2.7934975567119757e-07
17,0,10,2.177725523942949e-07
17,0,11,1.3755249006286246e-06
17,0,12,2.8426781196453136e-06
17,0,13,4.066744137735018e-06
17,0,14,5.16716871485086e-06
17,0,15,6.6850721027805955e-06
17,0,16,8.8366040879727e-06
17,0,17,1.1192310360797647e-05
17,0,18,1.2905519007694257e-05
17,0,19,1.3442410472853635e-05
17,0,20,1.290775709228973e-05
17,0,21,1.185381497108474e-05
17,0,22,1.0692682713114583e-05
17,0,23,9.550268583981595e-06
17,0,24,8.484119588505394e-06
17,0,25,7.804176246157678e-06
17,0,26,7.836538978512047e-06
17,0,27,8.517479854663532e-06
17,0,28,9.240390637746312e-06
17,0,29,9.455825197550655e-06
17,0,30,9.287089189601526e-06
17,0,31,9.501627351414445e-06
17,0,32,1.0534554323929238e-05
17,0,33,1.1718341731460267e-05
17,0,34,1.1589664236348704e-05
17,0,35,9.306464337421048e-06
17,0,36,5.692163261538009e-06
18,0,0,-4.845918082897261e-06
18,0,1,-4.981110106755756e-06
18,0,2,-3.589657043278694e-06
18,0,3,-1.5288629811483504e-06
18,0,4,-4.489371870980783e-07
18,0,5,-1.1702909607029567e-06
18,0,6,-2.939149497392486e-06
18,0,7,-4.270700146636182e-06
18,0,8,-4.282761501752942e-06
