level_0,level_1,level_2,control_data_Oz
0,0,0,2.0364510722767717e-05
0,0,1,2.3767567826696746e-05
0,0,2,2.669553545036219e-05
0,0,3,2.5976440907104917e-05
0,0,4,2.0366162365170748e-05
0,0,5,1.2367114143328577e-05
0,0,6,6.306570233688804e-06
0,0,7,4.916086691578278e-06
0,0,8,6.800726361164469e-06
0,0,9,7.869903610244818e-06
0,0,10,4.753845931088118e-06
0,0,11,-2.148266899164086e-06
0,0,12,-9.202650245039167e-06
0,0,13,-1.2523008813493082e-05
0,0,14,-1.128910460916876e-05
0,0,15,-7.850687805899422e-06
0,0,16,-5.35506268328149e-06
0,0,17,-4.6848680328884045e-06
0,0,18,-4.23868556885884e-06
0,0,19,-2.076746235639266e-06
0,0,20,1.3643935948077563e-06
0,0,21,3.4682802441459923e-06
0,0,22,1.9387486024829346e-06
0,0,23,-2.4706445769689164e-06
0,0,24,-6.513835348162208e-06
0,0,25,-7.358368857748713e-06
0,0,26,-5.4250075562625375e-06
0,0,27,-3.500564759954843e-06
0,0,28,-3.45520098254384e-06
0,0,29,-3.763445840068285e-06
0,0,30,-1.3678030176470968e-06
0,0,31,4.433135902793308e-06
0,0,32,9.801468113971397e-06
0,0,33,9.463736346382442e-06
0,0,34,2.033888843764757e-06
0,0,35,-7.3441174393574496e-06
0,0,36,-1.0996849032537622e-05
1,0,0,-5.028003290480051e-06
1,0,1,-1.8580262171252808e-06
1,0,2,6.035211389535927e-07
1,0,3,1.7979942908444518e-06
1,0,4,1.6170650510448408e-06
1,0,5,5.052541457899531e-07
1,0,6,-6.798518471793545e-07
1,0,7,-1.0010741028978353e-06
1,0,8,7.699665730934904e-08
1,0,9,2.4844141450600007e-06
1,0,10,5.593904726675222e-06
1,0,11,8.503060361648876e-06
1,0,12,1.0194200301177057e-05
1,0,13,9.821450804260755e-06
1,0,14,7.146691602512322e-06
1,0,15,3.008942120958188e-06
1,0,16,-7.021886281151258e-07
1,0,17,-1.987049684026553e-06
1,0,18,-3.088903941360151e-07
1,0,19,2.560529757785588e-06
1,0,20,3.506313130353586e-06
1,0,21,5.618983861551378e-07
1,0,22,-5.106617103289694e-06
1,0,23,-9.60705234083611e-06
1,0,24,-9.26457737640779e-06
1,0,25,-3.701694786876548e-06
1,0,26,3.5508085222103964e-06
1,0,27,7.729220057295187e-06
1,0,28,6.618556024876325e-06
1,0,29,2.230001370240954e-06
1,0,30,-1.2040173894334845e-06
1,0,31,-1.0619986072922847e-06
1,0,32,1.4204803149124465e-06
1,0,33,2.5523150196178255e-06
1,0,34,-1.6793491363518623e-07
1,0,35,-5.485374358497549e-06
1,0,36,-9.280068617994986e-06
2,0,0,6.307027891429555e-06
2,0,1,7.166663742662983e-07
2,0,2,-6.541369754971857e-06
2,0,3,-1.2333833912705388e-05
2,0,4,-1.4431553642176888e-05
2,0,5,-1.2606699789601558e-05
2,0,6,-8.322151676429831e-06
2,0,7,-3.402555426644055e-06
2,0,8,9.241070212197603e-07
2,0,9,4.25225195583052e-06
2,0,10,6.4702931067670585e-06
2,0,11,7.49817565779277e-06
2,0,12,7.449522783693264e-06
2,0,13,6.918501561224482e-06
2,0,14,6.650987878829059e-06
2,0,15,6.81030297671896e-06
2,0,16,6.546934407438104e-06
2,0,17,4.617308582646713e-06
2,0,18,6.462505649216556e-07
2,0,19,-4.058220717060874e-06
2,0,20,-7.169194684556791e-06
2,0,21,-7.018260762367556e-06
2,0,22,-3.922903910527436e-06
2,0,23,-2.854479859495584e-08
2,0,24,2.359716962620589e-06
2,0,25,2.438159608524808e-06
2,0,26,1.186431672466366e-06
2,0,27,2.2437973591535187e-07
2,0,28,4.807082931401279e-07
2,0,29,1.7259428462037678e-06
2,0,30,3.23645695336937e-06
2,0,31,4.578169750865283e-06
2,0,32,5.841680918556539e-06
2,0,33,7.196929180203811e-06
2,0,34,8.530532922817883e-06
2,0,35,9.441087745183522e-06
2,0,36,9.657259359505165e-06
3,0,0,3.3575707266304e-07
3,0,1,1.64639407282677e-06
3,0,2,4.84413765604254e-06
3,0,3,8.58992147253709e-06
3,0,4,1.1085413445128698e-05
3,0,5,1.138011010557577e-05
3,0,6,9.939666199762986e-06
3,0,7,8.070992891803276e-06
3,0,8,6.7884110751231905e-06
3,0,9,6.1424668280216565e-06
3,0,10,5.44958974322624e-06
3,0,11,4.1128613405681965e-06
3,0,12,2.1189786227454035e-06
3,0,13,-1.3485556765724467e-07
3,0,14,-2.3809272888766937e-06
3,0,15,-4.606633661273995e-06
3,0,16,-6.692489214083018e-06
3,0,17,-8.036613991563974e-06
3,0,18,-7.905593638065733e-06
3,0,19,-6.2533342338198295e-06
3,0,20,-4.181050524950779e-06
3,0,21,-3.3147575361990554e-06
3,0,22,-4.479464108400442e-06
3,0,23,-6.8938244230125e-06
3,0,24,-8.699102311335164e-06
3,0,25,-8.331072728193516e-06
3,0,26,-5.674045399212954e-06
3,0,27,-1.8579630981920372e-06
3,0,28,1.6304231637267119e-06
3,0,29,3.825327496701143e-06
3,0,30,4.3252119856918144e-06
3,0,31,3.2246760864228165e-06
3,0,32,1.154931323001069e-06
3,0,33,-5.470115947557477e-07
3,0,34,-3.595044116901774e-07
3,0,35,2.4021256098025564e-06
3,0,36,6.659422169021101e-06
4,0,0,1.5986660093335954e-05
4,0,1,1.078800721802573e-05
4,0,2,9.375609036951552e-07
4,0,3,-8.115350040463357e-06
4,0,4,-1.0746937347064721e-05
4,0,5,-5.84451708687681e-06
4,0,6,1.873927458930145e-06
4,0,7,5.70459496290285e-06
4,0,8,2.5947114795706077e-06
4,0,9,-4.325595428663796e-06
4,0,10,-8.791157728441545e-06
4,0,11,-7.080590981794013e-06
4,0,12,-1.2975462789281645e-06
4,0,13,3.0085674091354737e-06
4,0,14,2.2681981473962495e-06
4,0,15,-1.7134549380655201e-06
4,0,16,-3.698266355597657e-06
4,0,17,-1.991780466263054e-07
4,0,18,6.968774791108812e-06
4,0,19,1.223141171103584e-05
4,0,20,1.1190974494959777e-05
4,0,21,4.4922690663964525e-06
4,0,22,-2.8819910287152564e-06
4,0,23,-5.789065921679189e-06
4,0,24,-2.7509090114753167e-06
4,0,25,3.6375957821277265e-06
4,0,26,9.194389850236695e-06
4,0,27,1.1081524445725967e-05
4,0,28,8.935999491229644e-06
4,0,29,4.216641235948781e-06
4,0,30,-8.732575354838002e-07
4,0,31,-4.13822933096594e-06
4,0,32,-4.127760682994658e-06
4,0,33,-9.98749343455992e-07
4,0,34,3.1889729618780004e-06
4,0,35,5.5827310384006196e-06
4,0,36,4.749437428303992e-06
5,0,0,-1.6028950870002816e-05
5,0,1,-1.7117487987391468e-05
