level_0,level_1,level_2,no_aud_data_Fz
0,0,0,-1.789432307594378e-06
0,0,1,-2.4373898121977564e-06
0,0,2,-1.4078177837888563e-06
0,0,3,5.169831715377333e-07
0,0,4,2.2206375764498494e-06
0,0,5,3.36627313586452e-06
0,0,6,4.689961567092113e-06
0,0,7,7.102011401329358e-06
0,0,8,1.051864689756031e-05
0,0,9,1.3514513758693092e-05
0,0,10,1.438873608617091e-05
0,0,11,1.2592767785754317e-05
0,0,12,9.399828699321725e-06
0,0,13,6.984541791493694e-06
0,0,14,6.884514107510656e-06
0,0,15,8.94398776521329e-06
0,0,16,1.1738562345567154e-05
0,0,17,1.3732236607201195e-05
0,0,18,1.4421569572989931e-05
0,0,19,1.4304218561265146e-05
0,0,20,1.4224414401772085e-05
0,0,21,1.45172003957212e-05
0,0,22,1.4949422843466291e-05
0,0,23,1.5030532309774788e-05
0,0,24,1.4590236459340695e-05
0,0,25,1.3745929959635135e-05
0,0,26,1.2749183414491761e-05
0,0,27,1.15613942302133e-05
0,0,28,1.000201824706261e-05
0,0,29,7.947401291139814e-06
0,0,30,5.789306028284035e-06
0,0,31,4.208060335208629e-06
0,0,32,3.8955281195961395e-06
0,0,33,4.887925097212941e-06
0,0,34,6.548343760448972e-06
0,0,35,7.75521705423805e-06
0,0,36,7.744834262567895e-06
1,0,0,-6.540873534655175e-06
1,0,1,-3.5690737226793344e-06
1,0,2,5.186570965612898e-07
1,0,3,3.6314061248931076e-06
1,0,4,4.707933182666944e-06
1,0,5,4.3557397215085425e-06
1,0,6,4.051511556444861e-06
1,0,7,4.61053830398583e-06
1,0,8,5.569608484850018e-06
1,0,9,5.7957521630283755e-06
1,0,10,4.817178777488749e-06
1,0,11,3.2878663240520846e-06
1,0,12,2.355911454832724e-06
1,0,13,2.407722276482783e-06
1,0,14,2.728095609833979e-06
1,0,15,2.1788730334252753e-06
1,0,16,4.4849785567584036e-07
1,0,17,-1.6935342753157467e-06
1,0,18,-3.111963497746191e-06
1,0,19,-3.506779883041491e-06
1,0,20,-3.53787441596481e-06
1,0,21,-4.066555690430002e-06
1,0,22,-5.010901515650957e-06
1,0,23,-5.434928688415194e-06
1,0,24,-4.4786819429452624e-06
1,0,25,-2.5206256771506837e-06
1,0,26,-9.194922450341989e-07
1,0,27,-8.786655729600684e-07
1,0,28,-2.2264228723340346e-06
1,0,29,-3.796566363419463e-06
1,0,30,-4.599174713214668e-06
1,0,31,-4.941179286976221e-06
1,0,32,-5.834959025014511e-06
1,0,33,-7.786493486104434e-06
1,0,34,-9.847377952009481e-06
1,0,35,-1.0538222134217202e-05
1,0,36,-9.255478063679903e-06
2,0,0,-1.091808569879678e-06
2,0,1,1.1563784200426232e-06
2,0,2,4.046310338066858e-06
2,0,3,5.1264007961353394e-06
2,0,4,3.2719818169499825e-06
2,0,5,-2.968629404347688e-07
2,0,6,-2.8531716877717956e-06
2,0,7,-2.3216013123939004e-06
2,0,8,1.1171219905945022e-06
2,0,9,5.138907439864723e-06
2,0,10,7.123415086161941e-06
2,0,11,6.033589396660616e-06
2,0,12,3.0435203824390894e-06
2,0,13,3.1376417167913324e-07
2,0,14,-7.218237095242871e-07
2,0,15,-2.9908608657954243e-07
2,0,16,3.832210552706726e-07
2,0,17,4.330592738326623e-07
2,0,18,5.272676240917941e-08
2,0,19,-8.653936007964226e-08
2,0,20,2.549081083783807e-07
2,0,21,5.083749859561209e-07
2,0,22,1.5399446285577618e-07
2,0,23,-5.015838798662573e-07
2,0,24,-3.088006724823482e-07
2,0,25,1.4613200837104777e-06
2,0,26,4.269932169298561e-06
2,0,27,6.476014919920114e-06
2,0,28,6.872903134176925e-06
2,0,29,5.640230749495039e-06
2,0,30,4.128555945173739e-06
2,0,31,3.2936954575815485e-06
2,0,32,2.877233098061503e-06
2,0,33,1.7480011853324422e-06
2,0,34,-5.566878454563025e-07
2,0,35,-3.2323634995546334e-06
2,0,36,-4.688298283156726e-06
3,0,0,1.5801819480563614e-06
3,0,1,2.929703303380173e-06
3,0,2,4.184223206315721e-06
3,0,3,4.534551111914047e-06
3,0,4,3.981978138873027e-06
3,0,5,3.247581165131459e-06
3,0,6,2.908383837758229e-06
3,0,7,2.891653136772988e-06
3,0,8,2.5853707869452722e-06
3,0,9,1.6078937063354989e-06
3,0,10,1.9080203230814773e-07
