level_0,level_1,level_2,no_aud_data_Oz
0,0,0,6.496066004212065e-06
0,0,1,6.9677779849008155e-06
0,0,2,5.743885498402795e-06
0,0,3,2.4444484006833973e-06
0,0,4,-2.88148444015882e-06
0,0,5,-9.171358533661565e-06
0,0,6,-1.4347133615104607e-05
0,0,7,-1.6569595274155513e-05
0,0,8,-1.553638162890645e-05
0,0,9,-1.272293612460324e-05
0,0,10,-1.0133046604114346e-05
0,0,11,-8.82668986797988e-06
0,0,12,-8.394799931502712e-06
0,0,13,-7.818524434786652e-06
0,0,14,-6.66341012144886e-06
0,0,15,-5.374266118498758e-06
0,0,16,-4.517865885664572e-06
0,0,17,-3.975025233673307e-06
0,0,18,-3.179467286911305e-06
0,0,19,-2.0575824543915864e-06
0,0,20,-1.5637075426818992e-06
0,0,21,-2.887936577568282e-06
0,0,22,-6.102002680541055e-06
0,0,23,-9.671190635756634e-06
0,0,24,-1.164042859337931e-05
0,0,25,-1.1290222196274952e-05
0,0,26,-9.753620688391783e-06
0,0,27,-8.604806626845993e-06
0,0,28,-8.199163252661573e-06
0,0,29,-7.3859541962624205e-06
0,0,30,-5.25239637323035e-06
0,0,31,-2.583791176523695e-06
0,0,32,-1.6300775557348882e-06
0,0,33,-3.7411581263724054e-06
0,0,34,-7.629671131330297e-06
0,0,35,-9.946899956930798e-06
0,0,36,-8.313254635326632e-06
1,0,0,1.2502555550638014e-06
1,0,1,-5.631847754804942e-07
1,0,2,-1.3878512825054305e-06
1,0,3,-2.296091804618452e-06
1,0,4,-3.908074417295111e-06
1,0,5,-6.2154374080216485e-06
1,0,6,-9.224259111879527e-06
1,0,7,-1.2828182853060702e-05
1,0,8,-1.6274886972176086e-05
1,0,9,-1.7626528541580264e-05
1,0,10,-1.50488007844247e-05
1,0,11,-8.606496104229182e-06
1,0,12,-1.204742802418428e-06
1,0,13,3.309435900720743e-06
1,0,14,3.1821466583426537e-06
1,0,15,5.497891916163517e-07
1,0,16,-4.996903118689497e-07
1,0,17,2.561468538230747e-06
1,0,18,8.278363507663658e-06
1,0,19,1.2731996147159427e-05
1,0,20,1.3012420288937838e-05
1,0,21,9.74684386136895e-06
1,0,22,5.90816025287431e-06
1,0,23,3.980285751106749e-06
1,0,24,3.886349498929075e-06
1,0,25,4.066411990264981e-06
1,0,26,3.5785135502286404e-06
1,0,27,3.1594544013973974e-06
1,0,28,3.7409238405337376e-06
1,0,29,5.080332706016788e-06
1,0,30,5.701388084536612e-06
1,0,31,4.956004778431799e-06
1,0,32,4.050385965785174e-06
1,0,33,5.247123122870893e-06
1,0,34,9.182022177299813e-06
1,0,35,1.390722921119599e-05
1,0,36,1.6337487857229823e-05
2,0,0,8.24060929063684e-06
2,0,1,3.437634637814158e-06
2,0,2,-1.9691471900500865e-06
2,0,3,-3.381696347247009e-06
2,0,4,7.102132818873854e-07
2,0,5,7.00830579701149e-06
2,0,6,1.0310569786205063e-05
2,0,7,8.1925763281353e-06
2,0,8,3.320851150791736e-06
2,0,9,7.483423471611248e-07
2,0,10,3.0853291269068283e-06
2,0,11,8.023873789591695e-06
2,0,12,1.0891636501081457e-05
2,0,13,9.271800947234792e-06
2,0,14,5.449284153001891e-06
2,0,15,3.859135234259221e-06
2,0,16,6.520831181512491e-06
2,0,17,1.0928034479588782e-05
2,0,18,1.2899516342573109e-05
2,0,19,1.1041379348991501e-05
2,0,20,8.210551581688992e-06
2,0,21,8.070363521460271e-06
2,0,22,1.0800099859760697e-05
2,0,23,1.2394291300614046e-05
2,0,24,8.955462678137609e-06
2,0,25,1.2868049644412278e-06
2,0,26,-4.99294736237466e-06
2,0,27,-4.608565791847232e-06
2,0,28,2.2158345348582156e-06
2,0,29,9.591604027399479e-06
2,0,30,1.1386163702400975e-05
2,0,31,6.660149764793361e-06
2,0,32,2.946526181654812e-07
2,0,33,-1.84343373821577e-06
2,0,34,2.0171004808145642e-06
2,0,35,8.581755665185012e-06
2,0,36,1.3082643467301775e-05
3,0,0,2.8251614333270884e-06
3,0,1,1.7976170324365348e-06
3,0,2,-4.290532588398569e-06
3,0,3,-1.0082453232090221e-05
3,0,4,-1.1127662748836541e-05
3,0,5,-7.5984194377201695e-06
3,0,6,-3.503850582462371e-06
3,0,7,-2.5736819608639095e-06
3,0,8,-5.0208572086027955e-06
3,0,9,-7.904811472610553e-06
3,0,10,-8.301793546721986e-06
3,0,11,-5.852794943977816e-06
3,0,12,-2.710939629119852e-06
3,0,13,-1.1244464243854326e-06
3,0,14,-1.5472933458575915e-06
3,0,15,-2.6177344287943563e-06
3,0,16,-2.949531197668983e-06
3,0,17,-2.375950533794433e-06
3,0,18,-1.8760591326439247e-06
3,0,19,-2.355654431626173e-06
3,0,20,-3.846411766989704e-06
3,0,21,-5.623720146230907e-06
3,0,22,-7.064505294460881e-06
3,0,23,-7.925181243850755e-06
3,0,24,-8.185504097228929e-06
3,0,25,-7.722450506230077e-06
3,0,26,-6.562552978285445e-06
3,0,27,-5.0637588019204695e-06
3,0,28,-3.882086151501515e-06
3,0,29,-3.2672535358239485e-06
3,0,30,-2.827155227642025e-06
3,0,31,-1.899321278977804e-06
3,0,32,-5.714450793334945e-07
3,0,33,2.1866306140743795e-07
3,0,34,-5.12174991300958e-07
3,0,35,-2.4443649090685304e-06
3,0,36,-4.013471758077431e-06
4,0,0,-4.1030133317906524e-06
4,0,1,-4.915209211076932e-06
4,0,2,-1.8742339586492096e-06
4,0,3,1.5868245336592124e-06
4,0,4,2.274473660931995e-06
4,0,5,6.308982941269619e-07
4,0,6,-3.740224484572388e-07
4,0,7,1.1453042304898774e-06
4,0,8,3.341100141133742e-06
4,0,9,2.652838560119659e-06
4,0,10,-2.2383581714832505e-06
4,0,11,-8.097449729274207e-06
4,0,12,-1.0139700467451667e-05
4,0,13,-6.6527814024076805e-06
4,0,14,-1.2331359541382873e-06
4,0,15,8.120120704043125e-07
4,0,16,-2.4463265072705443e-06
4,0,17,-7.356254464434525e-06
4,0,18,-8.632999507829538e-06
4,0,19,-4.566142956547706e-06
4,0,20,9.95241149490567e-07
4,0,21,2.9174871522628644e-06
4,0,22,-1.919552716071804e-07
