level_0,level_1,level_2,no_vis_data_Fz
0,0,0,-3.4876099172297473e-06
0,0,1,-3.1723157480657578e-06
0,0,2,-4.494706876031411e-06
0,0,3,-6.445420245292338e-06
0,0,4,-7.616309562568507e-06
0,0,5,-7.2546362560933254e-06
0,0,6,-5.844014681996064e-06
0,0,7,-4.653470820123825e-06
0,0,8,-4.533580135355965e-06
0,0,9,-5.098640470838404e-06
0,0,10,-5.138337004779271e-06
0,0,11,-3.931858067898758e-06
0,0,12,-2.1771630014615203e-06
0,0,13,-1.5260149893967802e-06
0,0,14,-3.0740790410761385e-06
0,0,15,-6.2521380663702335e-06
0,0,16,-9.204509979833064e-06
0,0,17,-1.0379345776577974e-05
0,0,18,-9.815603117039099e-06
0,0,19,-8.937921071664183e-06
0,0,20,-9.130384705342495e-06
0,0,21,-1.049658110057497e-05
0,0,22,-1.1928592171387255e-05
0,0,23,-1.2343672462737892e-05
0,0,24,-1.179938280376617e-05
0,0,25,-1.1469001936264362e-05
0,0,26,-1.2549462740580925e-05
0,0,27,-1.521596300271843e-05
0,0,28,-1.8487009495303172e-05
0,0,29,-2.0985360919279763e-05
0,0,30,-2.1771605276358946e-05
0,0,31,-2.064259200615945e-05
0,0,32,-1.79633821010721e-05
0,0,33,-1.4500250324610622e-05
0,0,34,-1.1411512411510754e-05
0,0,35,-1.0042623911920916e-05
0,0,36,-1.122768097407454e-05
1,0,0,5.6265464920082526e-06
1,0,1,3.3687003953607804e-06
1,0,2,2.9316772707103152e-06
1,0,3,4.6719601200906195e-06
1,0,4,6.7385176502319805e-06
1,0,5,6.824865078504979e-06
1,0,6,4.462658828848545e-06
1,0,7,1.4523176321697717e-06
1,0,8,1.3607239200556254e-07
1,0,9,1.1635004912593938e-06
1,0,10,3.067194529879011e-06
1,0,11,3.79129929762407e-06
1,0,12,2.6991118322459875e-06
1,0,13,9.377488053033414e-07
1,0,14,2.1635662828410836e-07
1,0,15,1.1476821953725674e-06
1,0,16,2.970821923257923e-06
1,0,17,4.442020210970493e-06
1,0,18,5.033561394584348e-06
1,0,19,5.05150281493463e-06
1,0,20,5.058763493146016e-06
1,0,21,5.143361417384615e-06
1,0,22,5.0545649017421875e-06
1,0,23,4.5663717854180815e-06
1,0,24,3.8480463108920865e-06
1,0,25,3.1855237941196e-06
1,0,26,2.7769445709941094e-06
1,0,27,2.5185211063794206e-06
1,0,28,2.3144055721051885e-06
1,0,29,2.1714031714293642e-06
1,0,30,2.2826856706156118e-06
1,0,31,2.6814412594219293e-06
1,0,32,3.184645949820368e-06
1,0,33,3.267858167910697e-06
1,0,34,2.408380932555622e-06
1,0,35,3.3265032966495975e-07
1,0,36,-2.5063753501530783e-06
2,0,0,1.1381095815948239e-06
2,0,1,-1.5584489806620947e-07
2,0,2,-1.7464683229392327e-06
2,0,3,-2.6571790326990782e-06
2,0,4,-2.0695934235011174e-06
2,0,5,4.556317275865423e-08
2,0,6,2.7399732470182435e-06
2,0,7,4.7359186988553945e-06
2,0,8,5.276361922777062e-06
2,0,9,4.583350596561663e-06
2,0,10,3.4574499810758968e-06
2,0,11,2.598392568481416e-06
2,0,12,2.139930834401299e-06
2,0,13,1.8577317227364584e-06
2,0,14,1.5421623404716114e-06
2,0,15,1.2448096826073757e-06
2,0,16,1.0901241856668952e-06
2,0,17,1.0993188134409494e-06
2,0,18,1.1322733540065804e-06
2,0,19,1.15059858112673e-06
2,0,20,1.2635961144976667e-06
2,0,21,1.69007583071125e-06
2,0,22,2.4624067376353845e-06
2,0,23,3.3888406101348334e-06
2,0,24,4.102726295258496e-06
2,0,25,4.387232613117174e-06
2,0,26,4.273079021013587e-06
2,0,27,4.031251288368385e-06
2,0,28,3.854728550464526e-06
2,0,29,3.757795331300911e-06
2,0,30,3.5427773200761865e-06
2,0,31,3.1212643545029954e-06
2,0,32,2.6374288092589568e-06
2,0,33,2.446107319044151e-06
2,0,34,2.658779561499108e-06
2,0,35,2.9385867020626427e-06
2,0,36,2.596461529301837e-06
3,0,0,-6.53222896928495e-06
3,0,1,-5.10638900201509e-06
3,0,2,-4.6289468408219035e-06
3,0,3,-5.815705749486844e-06
3,0,4,-7.683901027024178e-06
3,0,5,-8.30479487928256e-06
3,0,6,-6.543329170386554e-06
3,0,7,-3.1289110222715657e-06
3,0,8,-1.4340748962203022e-07
3,0,9,7.118629234020427e-07
3,0,10,-5.909845273733393e-07
3,0,11,-2.5433641364274785e-06
3,0,12,-3.4963774462854846e-06
3,0,13,-2.932043069484819e-06
3,0,14,-1.636104959112293e-06
3,0,15,-7.829533504517781e-07
3,0,16,-9.634748637705088e-07
3,0,17,-1.901028946255299e-06
