level_0,level_1,level_2,no_vis_data_Oz
0,0,0,1.0227904720135474e-05
0,0,1,9.237181940390644e-06
0,0,2,1.2176609925064962e-05
0,0,3,1.594108494935311e-05
0,0,4,1.6983770436365458e-05
0,0,5,1.4571276768707135e-05
0,0,6,1.138911046527863e-05
0,0,7,1.058213108388157e-05
0,0,8,1.2332030930381726e-05
0,0,9,1.3376330224816949e-05
0,0,10,1.038977731716487e-05
0,0,11,3.6917736547238916e-06
0,0,12,-2.378401258254349e-06
0,0,13,-3.2827633311033365e-06
0,0,14,1.534833632055519e-06
0,0,15,7.996398318039599e-06
0,0,16,1.1037850509496038e-05
0,0,17,8.911860773889134e-06
0,0,18,4.299980783299256e-06
0,0,19,1.245245057727602e-06
0,0,20,1.454062406831652e-06
0,0,21,3.402121415765902e-06
0,0,22,4.591727770485583e-06
0,0,23,4.235273508484825e-06
0,0,24,3.635728043780334e-06
0,0,25,4.391904141772972e-06
0,0,26,6.750018029008328e-06
0,0,27,9.785663278606357e-06
0,0,28,1.2628323935953137e-05
0,0,29,1.4942248749151804e-05
0,0,30,1.6155567086291564e-05
0,0,31,1.4957320167978405e-05
0,0,32,1.0334619009265585e-05
0,0,33,3.438897744074802e-06
0,0,34,-2.128769151456939e-06
0,0,35,-2.651712605662086e-06
0,0,36,2.3609824335674926e-06
1,0,0,-2.3564580611566346e-06
1,0,1,9.199638180440952e-07
1,0,2,2.139544844844115e-06
1,0,3,2.2392764882973146e-07
1,0,4,-2.833501499866623e-06
1,0,5,-3.916143090611592e-06
1,0,6,-1.9999621442979144e-06
1,0,7,7.257357646180522e-07
1,0,8,1.0556789832628458e-06
1,0,9,-2.003373113278271e-06
1,0,10,-6.1532032312371305e-06
1,0,11,-8.131025363780934e-06
1,0,12,-6.854130435656836e-06
1,0,13,-4.332372619484515e-06
1,0,14,-3.4612356618789674e-06
1,0,15,-5.092956856463392e-06
1,0,16,-7.299315729680518e-06
1,0,17,-7.575955645847403e-06
1,0,18,-5.568040879758683e-06
1,0,19,-3.6426733092244454e-06
1,0,20,-4.509429412685213e-06
1,0,21,-8.465392000923185e-06
1,0,22,-1.2789132787963489e-05
1,0,23,-1.414020537747376e-05
1,0,24,-1.1437339151042908e-05
1,0,25,-6.854318882961851e-06
1,0,26,-3.829793479551277e-06
1,0,27,-4.185357528124675e-06
1,0,28,-6.6248977496273466e-06
1,0,29,-8.288087097564146e-06
1,0,30,-7.435038534654877e-06
1,0,31,-5.126911568367466e-06
1,0,32,-3.9887564210874045e-06
1,0,33,-5.503853472123532e-06
1,0,34,-8.111017207639546e-06
1,0,35,-8.466670386695046e-06
1,0,36,-4.445260922540141e-06
2,0,0,2.551025538010437e-06
2,0,1,-2.5308252965851725e-06
2,0,2,-4.968651120549456e-06
2,0,3,-2.710984558158789e-06
2,0,4,1.8706518227634288e-06
2,0,5,3.945660559698537e-06
2,0,6,5.779121779310235e-07
2,0,7,-6.490496258575412e-06
2,0,8,-1.2209882152134656e-05
2,0,9,-1.2402609175482526e-05
2,0,10,-7.182551160148174e-06
2,0,11,-7.44619739816562e-07
2,0,12,2.0514404546800505e-06
2,0,13,-5.514433351298498e-07
2,0,14,-6.13582096823783e-06
2,0,15,-1.0183494456984018e-05
2,0,16,-9.708543219917164e-06
2,0,17,-5.349464197611833e-06
2,0,18,-5.719402082565177e-07
2,0,19,1.3241277171750955e-06
2,0,20,-1.2763827234377952e-07
2,0,21,-2.4323070100316886e-06
2,0,22,-2.681683730713035e-06
2,0,23,-3.7366644948829254e-07
2,0,24,1.9835945136030314e-06
2,0,25,1.2763854291845733e-06
2,0,26,-3.181329204492519e-06
2,0,27,-8.657749405618746e-06
2,0,28,-1.1359972437386919e-05
2,0,29,-9.808581090241014e-06
2,0,30,-6.243438931317089e-06
2,0,31,-4.447536842115771e-06
2,0,32,-6.296055019588097e-06
2,0,33,-1.0011286362009663e-05
2,0,34,-1.2038110614623657e-05
2,0,35,-1.026039550934576e-05
2,0,36,-5.890571352675688e-06
3,0,0,4.742362287014532e-06
3,0,1,-3.623959909759795e-07
3,0,2,-3.2256285092887053e-06
3,0,3,-1.1991553216348261e-06
3,0,4,4.333809257336843e-06
3,0,5,8.902458053724213e-06
3,0,6,8.67367793226507e-06
3,0,7,3.560501189290563e-06
3,0,8,-2.657697990383643e-06
3,0,9,-5.557526393253748e-06
3,0,10,-3.5245430424275695e-06
3,0,11,1.0498211097003776e-06
3,0,12,4.035719817803722e-06
3,0,13,2.898519276176866e-06
3,0,14,-1.417388396678226e-06
3,0,15,-5.6315065123877515e-06
3,0,16,-6.6475026950799316e-06
3,0,17,-3.707300912301814e-06
3,0,18,1.4739588770219979e-06
3,0,19,6.060152826912183e-06
3,0,20,7.926861262488904e-06
3,0,21,6.767801924873916e-06
3,0,22,4.3194748930275415e-06
3,0,23,3.3317479888749933e-06
3,0,24,5.868755848636005e-06
3,0,25,1.1579469164387792e-05
3,0,26,1.7447051037245255e-05
3,0,27,1.938153028963551e-05
3,0,28,1.5207730984151077e-05
3,0,29,6.566426698176959e-06
3,0,30,-1.8850798650284087e-06
3,0,31,-5.830092136893862e-06
3,0,32,-4.321699153303341e-06
3,0,33,-2.722841868136166e-07
3,0,34,2.212889590969992e-06
3,0,35,1.0447551331865433e-06
3,0,36,-2.3806755407394917e-06
4,0,0,4.6684643862027946e-06
4,0,1,1.0544490735593111e-07
4,0,2,-3.1421114285697994e-06
4,0,3,-3.499972133198337e-06
4,0,4,-8.696465686155436e-07
4,0,5,3.4105044104559997e-06
4,0,6,7.255243070967391e-06
4,0,7,8.943087001647232e-06
4,0,8,8.069782172438235e-06
4,0,9,5.828411026862054e-06
4,0,10,4.131648591003731e-06
4,0,11,4.0867268280243764e-06
4,0,12,4.945193796649668e-06
4,0,13,4.67997531511784e-06
4,0,14,2.0658572192105604e-06
4,0,15,-1.5893307372967633e-06
4,0,16,-3.0829997290419367e-06
4,0,17,-3.2273067544121596e-07
4,0,18,5.0417126500209805e-06
4,0,19,8.286507487142568e-06
4,0,20,5.829101879047815e-06
4,0,21,-8.54213534690129e-07
4,0,22,-5.722127838227008e-06
4,0,23,-3.501768567160048e-06
4,0,24,5.0329880491158064e-06
4,0,25,1.2920222263060094e-05
4,0,26,1.2804131447212864e-05
4,0,27,3.3603508700762066e-06
4,0,28,-9.35818693808372e-06
4,0,29,-1.7121437377243297e-05
4,0,30,-1.60252372211812e-05
4,0,31,-8.756379378123272e-06
4,0,32,-1.0558664301236743e-06
4,0,33,3.4296721934804267e-06
4,0,34,5.065390435439763e-06
4,0,35,5.767458873828259e-06
4,0,36,6.130123893341032e-06
5,0,0,-5.172453606742673e-06
5,0,1,-1.488766087633797e-06
5,0,2,2.090176380302591e-06
5,0,3,2.097078899495082e-06
5,0,4,-1.1095054271010091e-06
5,0,5,-4.128800053555332e-06
5,0,6,-4.04837925664528e-06
5,0,7,-1.0785624159972634e-06
5,0,8,2.006214556667891e-06
5,0,9,2.8934384748991718e-06
5,0,10,1.9917850592113663e-06
5,0,11,1.905855089012702e-06
5,0,12,4.599671661127122e-06
5,0,13,9.233795709666544e-06
5,0,14,1.2571404118689208e-05
5,0,15,1.1787894794117952e-05
5,0,16,6.939604749003122e-06
5,0,17,1.0911761072546406e-06
5,0,18,-2.2629303540050845e-06
5,0,19,-1.8410857866586858e-06
5,0,20,6.796620811070019e-07
5,0,21,2.58225976932203e-06
5,0,22,2.4139335796916268e-06
5,0,23,8.79463745522238e-07
5,0,24,-3.9448219146215354e-07
5,0,25,-5.130501525907799e-07
5,0,26,8.658377184346e-08
5,0,27,5.976672216931362e-07
5,0,28,7.519697304089931e-07
5,0,29,1.0125691156553622e-06
5,0,30,1.6462187222456552e-06
5,0,31,2.3316115750286585e-06
5,0,32,2.415789312708777e-06
5,0,33,1.791950152764285e-06
5,0,34,9.43331101967066e-07
5,0,35,4.727504872294447e-07
5,0,36,5.340129143853732e-07
6,0,0,-1.1855735823923508e-05
6,0,1,-5.417672299484495e-06
6,0,2,-1.9821066257234947e-07
6,0,3,1.5133926579396074e-06
6,0,4,-2.4506580241691886e-09
6,0,5,-2.5465020750942944e-06
6,0,6,-4.076944666664222e-06
6,0,7,-4.012587365416248e-06
6,0,8,-3.0166238952227697e-06
6,0,9,-1.84122075567444e-06
6,0,10,-7.538406519878891e-07
6,0,11,2.4218043469580533e-07
6,0,12,9.093630204906763e-07
6,0,13,9.360273137061734e-07
6,0,14,3.190868076016324e-07
6,0,15,-4.778881319268467e-07
6,0,16,-1.0357133914741352e-06
6,0,17,-1.3066950681685664e-06
6,0,18,-1.4316074370576242e-06
6,0,19,-1.2790554328203542e-06
6,0,20,-5.709102964408832e-07
6,0,21,4.717479057300057e-07
