level_0,level_1,level_2,no_vis_no_aud_data_Fz
0,0,0,-1.7093374735902987e-06
0,0,1,-1.3984454407474275e-06
0,0,2,-1.8811201069368248e-06
0,0,3,-3.409314427570468e-06
0,0,4,-5.1431711510901686e-06
0,0,5,-6.12130033941083e-06
0,0,6,-6.204855982705666e-06
0,0,7,-6.014953122347825e-06
0,0,8,-6.113849758702884e-06
0,0,9,-6.406239212956117e-06
0,0,10,-6.405909612071283e-06
0,0,11,-5.903451616834127e-06
0,0,12,-5.187554856995937e-06
0,0,13,-4.548335050021633e-06
0,0,14,-3.8077546036095105e-06
0,0,15,-2.494486980931173e-06
0,0,16,-5.566672908757362e-07
0,0,17,1.3082262934712883e-06
0,0,18,2.148616327033714e-06
0,0,19,1.6893526005136233e-06
0,0,20,6.129332269140812e-07
0,0,21,-6.163568378709809e-08
0,0,22,4.408567301406916e-08
0,0,23,4.7638510096029984e-07
0,0,24,5.672780928710237e-07
0,0,25,2.6145972177233127e-07
0,0,26,1.256303467547037e-07
0,0,27,6.909835622728447e-07
0,0,28,1.8067980177898592e-06
0,0,29,2.797494422187945e-06
0,0,30,3.110059743408072e-06
0,0,31,2.8178685590027797e-06
0,0,32,2.355045252065848e-06
0,0,33,2.009926386500077e-06
0,0,34,1.6333204500918526e-06
0,0,35,9.926859240878602e-07
0,0,36,1.396590185215003e-07
1,0,0,-2.9737714146197233e-06
1,0,1,-3.983100819149625e-06
1,0,2,-5.390765807826306e-06
1,0,3,-6.321802451181074e-06
1,0,4,-6.16182014796801e-06
1,0,5,-5.047934321469579e-06
1,0,6,-3.682815495575822e-06
1,0,7,-2.524167067673218e-06
1,0,8,-1.5543124622725873e-06
1,0,9,-5.907290503078044e-07
1,0,10,1.814092227934531e-08
1,0,11,-4.6700043426547836e-07
1,0,12,-2.4901033983022475e-06
1,0,13,-5.350855360728395e-06
1,0,14,-7.505816868593048e-06
1,0,15,-7.5199686063635125e-06
1,0,16,-5.25682415730244e-06
1,0,17,-1.8930182987016554e-06
1,0,18,7.746260168382582e-07
1,0,19,1.5738553209176145e-06
1,0,20,3.879049530545987e-07
1,0,21,-1.8899229243875168e-06
1,0,22,-4.14953580546898e-06
1,0,23,-5.53889084653673e-06
1,0,24,-6.016128189520025e-06
1,0,25,-6.123932053319096e-06
1,0,26,-6.691643020199879e-06
1,0,27,-8.01311119292842e-06
1,0,28,-9.66033199645142e-06
1,0,29,-1.0553722106953665e-05
1,0,30,-9.943894258795591e-06
1,0,31,-7.909676905539658e-06
1,0,32,-5.562388552001878e-06
1,0,33,-4.0991039597062975e-06
1,0,34,-4.159564257998045e-06
1,0,35,-5.352577579921335e-06
1,0,36,-6.958688130917967e-06
2,0,0,-1.2931955472483565e-05
2,0,1,-1.4763580331315549e-05
2,0,2,-1.5796533497278143e-05
2,0,3,-1.5731131368501203e-05
2,0,4,-1.5373582074863193e-05
2,0,5,-1.543147396007886e-05
2,0,6,-1.608069020536825e-05
2,0,7,-1.681725577830904e-05
2,0,8,-1.7213687790016644e-05
2,0,9,-1.698047442751712e-05
2,0,10,-1.6285064581838464e-05
2,0,11,-1.5317183216172203e-05
2,0,12,-1.447908165321248e-05
2,0,13,-1.3924339353376465e-05
2,0,14,-1.3768242411587271e-05
2,0,15,-1.3683362543986922e-05
2,0,16,-1.349147807654333e-05
2,0,17,-1.3136198881714771e-05
2,0,18,-1.3245156348610761e-05
2,0,19,-1.4419881550798287e-05
2,0,20,-1.7041320351568164e-05
2,0,21,-2.0406437701548448e-05
2,0,22,-2.336602081671015e-05
2,0,23,-2.45736187958884e-05
2,0,24,-2.367567830142644e-05
2,0,25,-2.1010983931995684e-05
2,0,26,-1.771021951768874e-05
2,0,27,-1.4657985812078947e-05
2,0,28,-1.2692167554585894e-05
2,0,29,-1.2018370213726461e-05
2,0,30,-1.2736057586760184e-05
2,0,31,-1.4209188732641764e-05
2,0,32,-1.574802032156691e-05
2,0,33,-1.6507705977767046e-05
2,0,34,-1.6672472950778495e-05
2,0,35,-1.6979748286936403e-05
2,0,36,-1.8671503044892144e-05
3,0,0,6.287232375152611e-07
3,0,1,-1.6534864945158209e-06
3,0,2,-3.4507390014704533e-06
3,0,3,-4.01253643371219e-06
3,0,4,-3.2457807293930006e-06
3,0,5,-1.7634203949381839e-06
3,0,6,-5.625023361208497e-07
3,0,7,-2.340228127961652e-07
3,0,8,-7.980994387945075e-07
3,0,9,-1.7896036563987453e-06
3,0,10,-2.8660901507082784e-06
3,0,11,-3.7884696776657495e-06
3,0,12,-4.4465785984837045e-06
3,0,13,-4.593649714718009e-06
3,0,14,-4.198682717097851e-06
3,0,15,-3.5315803487368717e-06
3,0,16,-3.2719403439909636e-06
3,0,17,-3.8350740058684565e-06
3,0,18,-5.092929571621932e-06
3,0,19,-6.260800094038993e-06
3,0,20,-6.654939451468205e-06
3,0,21,-6.04225287952092e-06
3,0,22,-4.85266798887652e-06
3,0,23,-3.5378256670480686e-06
3,0,24,-2.3825172675380257e-06
3,0,25,-1.3040970965142392e-06
3,0,26,-3.3077320078463166e-07
