level_0,level_1,level_2,no_vis_no_aud_data_Oz
0,0,0,-1.2883928512647146e-06
0,0,1,-3.1187967134413744e-06
0,0,2,-3.309659636420713e-06
0,0,3,-2.136890393567966e-06
0,0,4,-9.479387840938478e-07
0,0,5,-4.3744135579530763e-07
0,0,6,2.537568983894316e-08
0,0,7,1.3861461618131383e-06
0,0,8,3.5287467270018037e-06
0,0,9,5.1824034789283335e-06
0,0,10,5.230326210670376e-06
0,0,11,3.8130860616307483e-06
0,0,12,1.989360891997138e-06
0,0,13,4.0585219417105895e-07
0,0,14,-1.2306546706559364e-06
0,0,15,-3.3395143461481004e-06
0,0,16,-5.4618562803507775e-06
0,0,17,-6.465979919029099e-06
0,0,18,-5.810455782192099e-06
0,0,19,-4.253094147936912e-06
0,0,20,-2.959244783127602e-06
0,0,21,-1.994262886613799e-06
0,0,22,-1.5013318030449408e-07
0,0,23,3.3168231805965026e-06
0,0,24,7.137096797063525e-06
0,0,25,8.594867668596917e-06
0,0,26,6.153679806467961e-06
0,0,27,1.3819087349849655e-06
0,0,28,-2.1193666131909614e-06
0,0,29,-2.079355939775421e-06
0,0,30,2.071964476223971e-07
0,0,31,1.221843758702278e-06
0,0,32,-1.0714928226255671e-06
0,0,33,-5.0310795654051675e-06
0,0,34,-6.914859216788547e-06
0,0,35,-4.727201010110057e-06
0,0,36,-2.891981737213635e-07
1,0,0,1.5782521821693839e-06
1,0,1,2.7992894009581113e-06
1,0,2,3.973672269334789e-06
1,0,3,4.575679190536836e-06
1,0,4,5.2849122644947795e-06
1,0,5,7.129267866554003e-06
1,0,6,9.744434064171224e-06
1,0,7,1.0952932079319759e-05
1,0,8,8.619446581379644e-06
1,0,9,3.2466320164465452e-06
1,0,10,-1.5637464690557151e-06
1,0,11,-1.7190037653237207e-06
1,0,12,3.7835685925438037e-06
1,0,13,1.1611166146610543e-05
1,0,14,1.6456459952335204e-05
1,0,15,1.5081285025273037e-05
1,0,16,8.573092182324708e-06
1,0,17,1.183467720138592e-06
1,0,18,-2.9872302993160524e-06
1,0,19,-2.5602572731688765e-06
1,0,20,8.867534366150431e-07
1,0,21,4.662691641345681e-06
